AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
8.764444	11.102856	70.0	3.0	62.1	4.7843494	71.0	53.0	8.764444	62.1	2000	675.76733	10770.058	5.7046213	-0.2909908	675.4811	10765.495	5.547849	-0.06091726	36.671516	584.7684	22.72986	-8.475634	-2.8309314	0.09516926	0.10644386	7069.196	3.446622133255005
74.333336	20.28683	160.0	47.0	129.0	48.586006	200.0	66.0	74.333336	129.0	4000	2081.7678	33178.22	15.073504	-2.7709773	2081.1646	33168.6	14.881969	-2.193303	118.89202	1894.9401	6.6176195	-9.947923	-8.65251	0.24699096	0.25254786	1971.2045	7.6464643478393555
62.8125	29.137001	200.0	42.0	51.5	1.3601471	54.0	49.0	62.8125	51.5	6000	3797.048	60515.51	22.66141	-3.6611595	3796.3384	60504.195	22.347944	-4.674634	127.50028	2032.1196	8.624679	-10.760766	-15.476461	0.4039009	0.45678288	1970.7166	11.470298528671265
55.61111	5.6483912	66.0	43.0	62.4	1.4966631	65.0	60.0	55.61111	62.4	8000	5058.4487	80619.125	31.197277	-5.258943	5058.0376	80612.57	30.735405	-6.181142	209.20898	3334.3093	10.492427	-9.106912	-20.49598	0.5237977	0.63410836	1987.4833	15.292968273162842
100.10526	40.21769	200.0	66.0	173.0	22.733234	200.0	137.0	100.10526	173.0	10000	5914.9106	94269.03	37.423267	-7.68856	5914.766	94266.73	38.255947	-9.1979	176.55878	2813.9553	14.06231	-9.85686	-23.804266	0.5778067	0.73160565	1960.4165	19.801329612731934
197.6	4.8826222	200.0	186.0	200.0	0.0	200.0	200.0	197.6	200.0	12000	6912.2275	110163.79	41.812077	-9.350878	6911.7085	110155.53	41.52427	-11.151571	152.58234	2431.823	12.485449	-11.6478195	-27.251905	0.3329445	0.42312542	1972.6708	24.29420495033264
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	14000	8054.944	128375.83	46.207294	-9.258699	8054.7554	128372.82	46.080517	-12.406572	174.88644	2787.2854	8.395437	-10.933745	-31.569763	0.09211674	0.1032595	1968.0947	28.830431699752808
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	16000	9689.431	154425.45	50.70399	-7.3935323	9689.423	154425.33	50.641	-8.009476	164.39803	2620.1287	7.851748	-9.5181	-37.97936	0.06265687	0.054588523	1979.1147	33.364402294158936
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	18000	11715.159	186710.44	54.930653	-10.091349	11715.155	186710.39	54.9289	-10.818424	116.695145	1859.8774	9.206723	-9.881338	-45.820297	0.042841848	0.036375534	1968.1045	37.889535903930664
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	20000	13703.99	218407.38	59.4544	-10.62592	13704.044	218408.25	59.116653	-10.927889	71.999176	1147.5544	9.596903	-11.176714	-53.542446	0.031862777	0.032882076	1971.1494	42.531049489974976
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	22000	15198.796	242230.81	63.18425	-10.067295	15198.797	242230.86	62.824837	-9.657015	43.407654	691.9111	4.564355	-9.752841	-59.376644	0.014306183	0.014812187	1992.7535	47.06657695770264
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	24000	16366.716	260844.52	66.19476	21.133762	16366.717	260844.5	66.17106	20.911373	-42.538834	678.0495	5.227941	-8.824692	-63.93542	0.0062588686	0.005095735	1978.0585	51.633774280548096
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	26000	17251.918	274952.47	69.369026	17.227798	17251.922	274952.5	69.37123	17.250505	-63.137802	1006.31476	5.556817	-9.300194	-67.392685	0.0065948023	0.0047391946	1995.6808	56.18157625198364
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	28000	18068.656	287969.2	72.36828	15.249799	18068.664	287969.34	72.37843	15.012869	-71.579704	1140.8503	5.7185855	-9.72073	-70.59081	0.0063570566	0.0054784426	1980.1146	60.75390625
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	30000	18814.195	299851.25	75.053825	12.057737	18814.2	299851.28	75.045334	11.554948	-77.93304	1242.1005	5.52496	-10.52191	-73.5041	0.0056279865	0.004993006	1966.2498	65.2991852760315
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	32000	19485.191	310545.2	77.750694	7.988237	19485.197	310545.34	77.60903	7.0448813	-68.55821	1092.6976	4.8826	-10.515751	-76.12544	0.006229661	0.0060310736	1940.7986	69.98975706100464
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	34000	20108.559	320480.12	79.931725	5.6100063	20108.559	320480.12	79.87784	4.895117	-71.778824	1144.0232	4.109518	-8.769281	-78.56077	0.004562341	0.004421799	1827.4277	75.07821869850159
187.36363	39.95969	200.0	61.0	200.0	0.0	200.0	200.0	187.36363	200.0	36000	20659.549	329261.53	82.17948	74.97276	20659.56	329261.75	82.1815	75.18355	-42.36497	675.2935	3.5587113	-9.048943	-80.70415	0.22291993	0.22179832	1720.195	80.19103741645813
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	38000	21135.193	336842.16	84.08792	78.368286	21135.22	336842.56	84.07079	78.6356	-7.4794736	119.91638	4.431102	-8.940344	-82.56114	0.3515629	0.35170132	1916.6222	84.82430100440979
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	40000	21558.814	343593.62	85.61789	80.24394	21558.84	343593.97	85.55574	80.41602	-8.712671	139.47916	4.957416	-9.3864155	-84.21354	0.31339356	0.31706813	1909.9175	89.55411744117737
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	42000	21936.32	349610.1	87.05239	78.80962	21936.338	349610.4	86.94926	81.32702	-6.5923104	105.90266	5.1475534	-11.677774	-85.68483	0.37334025	0.3848205	1926.5085	94.14121675491333
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	44000	22278.447	355062.78	88.80153	76.19191	22278.521	355063.94	88.711494	80.461464	-5.9444637	95.67749	5.863453	-11.042606	-87.020546	0.38640448	0.4113116	1907.1609	98.76440238952637
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	46000	22602.11	360221.12	89.17414	75.705605	22602.117	360221.25	89.08926	80.33317	-27.147774	432.84058	5.8151245	-10.221793	-88.28864	0.075571805	0.08227266	1909.4274	103.37362098693848
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	48000	22906.062	365065.38	90.35619	86.58563	22906.062	365065.34	90.290016	86.71101	-62.620182	998.06696	4.0809197	-9.126133	-89.48309	0.0041650934	0.004142826	1915.2042	108.01663017272949
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	50000	23192.77	369634.78	91.50259	88.75567	23192.766	369634.7	91.27009	89.08115	-72.08918	1148.9669	3.2369719	-10.829615	-90.60472	0.0029660237	0.002757975	1909.5786	112.75440788269043
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	52000	23454.861	373811.84	93.02925	88.14898	23454.855	373811.75	92.501656	88.799995	-73.66344	1174.0552	4.7985344	-13.558585	-91.62959	0.0042276373	0.0040777903	1932.2347	117.34249877929688
184.63637	48.584084	200.0	31.0	200.0	0.0	200.0	200.0	184.63637	200.0	54000	23686.021	377495.97	94.74578	84.87611	23686.025	377496.03	94.32868	85.555084	-45.81324	730.235	8.196077	-7.6634192	-92.52393	0.20595345	0.19971088	1924.6246	121.94076991081238
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	56000	23861.998	380300.62	94.807556	84.390434	23862.016	380300.88	94.50404	84.72883	-6.5257764	104.73416	9.827735	-9.962964	-93.207466	0.3994879	0.39129132	1899.9176	126.58597707748413
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	58000	24015.639	382749.25	95.55909	83.395294	24015.664	382749.66	95.21646	82.84627	7.7763863	124.54089	12.10725	-10.676226	-93.8097	0.4042923	0.3992967	1926.7689	131.20840716362
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	60000	24147.904	384857.2	96.31212	82.9526	24147.93	384857.62	95.89363	81.5597	2.647803	43.854134	16.280476	-9.787285	-94.3228	0.35318705	0.35083318	1902.3331	135.86209893226624
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	62000	24241.166	386343.56	96.40104	78.73714	24241.203	386344.2	96.225426	79.023895	-16.909517	269.7399	13.915616	-9.709003	-94.67934	0.3223056	0.32204276	1922.8397	140.57596397399902
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	64000	24315.008	387520.47	96.87421	74.7696	24315.016	387520.53	96.49509	77.48339	-29.457869	469.6174	14.825428	-9.510801	-94.9671	0.122014485	0.12306784	1909.8907	145.18404865264893
